DISP|lean_name|module|stmt|proof|note|status
43I|norm_np_le_unSeminorm_mulInner|B/Dils/HilbertModules|ok|none|vn.tex 43I.1 (uwweaker, vn.tex:341, Exercise) in this file's MIRRORED form: abs omega(a) <= ‖a‖_un omega(1)^(1/2), where ‖a‖_un is the ultranorm seminorm of mulInner, i.e. omega(a a*)^(1/2). 43I is an Exercise and asols.tex has no solution for it (grep for uwweaker over asols.tex finds nothing; vn.tex:260 and :5549 are the only other mentions), so there is no printed argument to follow. Ours transports A/VN/Basic's norm_apply_le_omegaNorm (43I.1, its own row in avn-basic.csv) along star, using np_star and star_star. stmt ok: 43I.1 itself is stated in A/VN/Basic.
43I|uwTendsto_of_unTendsto_mulInner|B/Dils/HilbertModules|ok|none|vn.tex 43I.2 in the mirrored form: convergence in the ultranorm uniformity of mulInner implies ultraweak convergence. No printed proof (Exercise, no solution in asols.tex). Ours is the exercise's own inference all the same -- part 1 applied to a_i - a_0 and squeezed -- with part 1 in its mirrored form, norm_np_le_unSeminorm_mulInner. stmt ok: 43I.2 is uwweaker_2 in A/VN/Basic, with its own row.
141II|BInner|B/Dils/HilbertModules|ok|none|Definition of a 𝒷-valued inner product, mirrored to Mathlib's left-action convention (b • x corresponds to the thesis's x·b*, and B.inner u v to the thesis's ⟨v,u⟩). The point's three clauses are present: 𝒷-linearity in the second argument (inner_add_right + inner_op_smul_right), conjugate symmetry (star_inner) and positivity (inner_self_nonneg). Definiteness is deliberately NOT a field, as the point requires. The one field with no counterpart in the point is inner_smul_right_complex (ℂ-homogeneity); it is a consequence of 𝒷-linearity in every intended model (c • y = (c·1) • y) and is needed only because the binders [Module ℂ X] [SMul 𝒷 X] carry no compatibility axiom.
141II|BInner.Definite|B/Dils/HilbertModules|ok|none|The point's "definite": [x,x] = 0 implies x = 0.
141II|BInner.norm|B/Dils/HilbertModules|ok|none|The point's ‖x‖ = ‖[x,x]‖^½. That it is a seminorm is 142V (module_seminorm_2); that a Hilbert 𝒷-module is a complete pre-Hilbert 𝒷-module is carried by Mathlib's CStarModule plus [CompleteSpace X], as the file header says.
141IIa|SelfDual|B/Dils/HilbertModules|ok|none|The moved definition at point 21. Faithful mirror: the thesis's bounded 𝒷-linear τ with τ(x) = ⟨t,x⟩ becomes σ(x) = τ(x)* with σ(b • x) = b·σ(x) and σ(x) = inner 𝒷 t x. The doc comment correctly labels this 141IIa and records that 141IIb (Beware) and 141III (Examples) are not converted. Minor: τ is taken to be ℂ-linear (X →ₗ[ℂ] 𝒷) where the thesis says only "bounded 𝒷-linear"; ℂ-linearity follows from 𝒷-linearity over a unital 𝒷 in every intended model.
141III|selfDual_self|B/Dils/HilbertModules|ok|none|The Examples point's second bullet, 𝒷 self-dual over itself. The thesis gives no proof (Example). Our proof is the obvious one and does not use boundedness, as the doc says. The remaining four bullets of 141III (Hilbert spaces, closed right ideals, e𝒷, direct sums) are not converted anywhere in the file.
141III|mulBInner|B/Dils/HilbertModules|ok|none|The same bullet again, packaged as a BInner: 𝒷 as a module over itself with mulInner 𝒷 a b = b·a* (mirror of ⟨a,b⟩ = a*b).
142II|innerF|B/Dils/HilbertModules|ok|none|The definition ⟨x,y⟩_f = f([x,y]). Stated for a bare ℂ-linear f; positivity of f enters only in innerF_inner_product.
142II|seminormF|B/Dils/HilbertModules|ok|none|The definition ‖x‖_f = ⟨x,x⟩_f^½, taken on the real part (the point's f is positive, so the value is real).
