DISP|lean_name|module|stmt|proof|note|status
OAP 1|oap1_one_eq_orth_zero|Papers/OAP/Basic.lean|ok|route|The print takes 1 := 0^perp; the tree (thesis B 175I) has 1 as a field. Agreement proved from the tree axioms (175V.2). No proof printed.|row added 2026-09-26 (OAP phase 1, Basic.lean compiled exit 0, no sorry)
OAP 1|oap1_zero|Papers/OAP/Basic.lean|ok|route|The print states the Zero axiom on the right (x perp 0, x ovee 0 = x), the tree on the left; equivalent by commutativity.|row added 2026-09-26 (OAP phase 1, Basic.lean compiled exit 0, no sorry)
OAP 1|EffectAlgebra.ofPaper|Papers/OAP/Basic.lean|ok|none|Definition point, converse direction: data satisfying the print's five axioms (with 1 := 0^perp) build a tree EffectAlgebra. Together with the two rows above this shows the print's definition and the tree's coincide.|row added 2026-09-26 (OAP phase 1, Basic.lean compiled exit 0, no sorry)
OAP 1|eaPartialOrder|Papers/OAP/Basic.lean|ok|none|"This turns E into a poset": the algebraic order as a PartialOrder (antisymmetry is the tree's 175V.5). Registered as a scoped instance of priority 100.|row added 2026-09-26 (OAP phase 1, Basic.lean compiled exit 0, no sorry)
OAP 1|oap1_bounded|Papers/OAP/Basic.lean|ok|route|Minimum 0, maximum 1. No proof printed.|row added 2026-09-26 (OAP phase 1, Basic.lean compiled exit 0, no sorry)
OAP 1|oap1_orth_antiIso|Papers/OAP/Basic.lean|ok|route|Complement is an order anti-isomorphism (antitone+reflecting and involutive). No proof printed; tree 175V.1/175V.6.|row added 2026-09-26 (OAP phase 1, Basic.lean compiled exit 0, no sorry)
OAP 1|oap1_perp_iff|Papers/OAP/Basic.lean|ok|route|x perp y iff x <= y^perp; tree 175V.8.|row added 2026-09-26 (OAP phase 1, Basic.lean compiled exit 0, no sorry)
OAP 1|oap1_osub_unique|Papers/OAP/Basic.lean|ok|route|Uniqueness of the difference y minus x. No proof printed (cites Foulis-Bennett).|row added 2026-09-26 (OAP phase 1, Basic.lean compiled exit 0, no sorry)
OAP 1|oap1_hom_orth_mono|Papers/OAP/Basic.lean|ok|route|Morphisms preserve complement and order; tree 176V.2, 176V.4. Stated for E, F in one universe (the tree's section).|row added 2026-09-26 (OAP phase 1, Basic.lean compiled exit 0, no sorry)
OAP 1|EAEmbedding|Papers/OAP/Basic.lean|ok|none|Embedding = order-reflecting morphism.|row added 2026-09-26 (OAP phase 1, Basic.lean compiled exit 0, no sorry)
OAP 1|EAIsIso|Papers/OAP/Basic.lean|ok|none|Isomorphism = bijective morphism with morphism inverse, rendered as a two-sided inverse morphism.|row added 2026-09-26 (OAP phase 1, Basic.lean compiled exit 0, no sorry)
